place_name,type,category,description,estimated_cost,opening_hours,accessibility,stress_reduction_benefits,activities,contact,maps_link
Nehru Ladies Park,park,nature,"Women-friendly park with gardens and walking paths",100,"6:00-20:00","Wheelchair accessible, security","Safe space, relaxation","Walking, gardening, socializing","555-0206","https://maps.app.goo.gl/Fw39GQp7Xormn2YL7"
Arulmigu Eachanari Vinayagar Temple,temple,spiritual,"Ancient temple with peaceful surroundings",250,"6:00-20:00","Wheelchair accessible, prayer halls","Spiritual peace, cultural connection","Prayer, meditation, cultural activities","555-0207","https://maps.app.goo.gl/jXPX1v1icL6nvesJ6"
Smart City Coimbatore Valankulam,park,nature,"Modern park with water features and walking paths",150,"6:00-20:00","Wheelchair accessible, modern facilities","Urban relaxation, exercise","Walking, photography, socializing","555-0208","https://maps.app.goo.gl/Zzzs95ECeV9Q5iVV9"
Valankulam Boat House,recreation,water,"Boat house with water activities and scenic views",350,"9:00-17:00","Wheelchair accessible, boat facilities","Water therapy, relaxation","Boating, photography, picnics","555-0209","https://maps.app.goo.gl/i7rJwsbGjxC4A8T68"
Kumaraswamy Park and Lake,park,nature,"Park with lake and recreational facilities",150,"6:00-20:00","Wheelchair accessible, boating","Nature connection, family time","Boating, walking, picnics","555-0210","https://maps.app.goo.gl/jEydV7oKp2m9VAiA6"
Palakkad Fort,historical,education,"Historical fort with gardens and walking paths",100,"8:00-17:00","Wheelchair accessible, guided tours","Historical learning, cultural connection","Historical tours, photography","555-0211","https://maps.app.goo.gl/wvziBoXB8CtmRV1s8"
Marudhamalai Murugan Temple,temple,spiritual,"Hill temple with scenic views and peaceful atmosphere",200,"6:00-20:00","Wheelchair accessible, prayer halls","Spiritual peace, nature connection","Prayer, meditation, hiking","555-0212","https://maps.app.goo.gl/B2hHWDVwa7B3bbfh7"
Kuzhiyanamkunn View Point,viewpoint,nature,"Scenic viewpoint with panoramic views",10,"24/7","Wheelchair accessible, viewing platform","Nature appreciation, peace","Photography, meditation","555-0213","https://maps.app.goo.gl/z94nnJq33gBjHg9j8"
Noyyal River Point,park,nature,"Riverfront park with walking paths",10,"6:00-20:00","Wheelchair accessible, river views","Nature connection, peace","Walking, photography, picnics","555-0214","https://maps.app.goo.gl/nr7ChSivUfKuPrCw5"
Dhoni Waterfalls,waterfall,nature,"Scenic waterfall with hiking trails",400,"6:00-17:00","Hiking required, viewing points","Nature therapy, adventure","Hiking, photography, picnics","555-0215","https://maps.app.goo.gl/E7gZFYRz3AbAgRgE7"
Paloorkotta Waterfalls,waterfall,nature,"Beautiful waterfall with natural surroundings",200,"6:00-17:00","Hiking required, viewing points","Nature therapy, peace","Hiking, photography, meditation","555-0216","https://maps.app.goo.gl/h94Hv8WNdfcq25kG7"
Kovai Kutralam Water Falls,waterfall,nature,"Popular waterfall with recreational areas",150,"6:00-17:00","Wheelchair accessible, viewing points","Nature therapy, family time","Photography, picnics, family activities","555-0217","https://maps.app.goo.gl/KBFG56oSyGK8vm7v9"
Siruvani Waterfalls,waterfall,nature,"Pristine waterfall in forest setting",80,"6:00-17:00","Hiking required, natural paths","Nature therapy, adventure","Hiking, photography, nature walks","555-0218","https://maps.app.goo.gl/534Syoiz6v7dMQxC8"
Kava View Point,viewpoint,nature,"Scenic viewpoint with panoramic views",50,"24/7","Wheelchair accessible, viewing platform","Nature appreciation, peace","Photography, meditation, star gazing","555-0219","https://maps.app.goo.gl/Qa6SigNqPYgKZev39"
Kovai Kondattam Amusement Park,amusement,entertainment,"Family amusement park with various rides",80,"10:00-19:00","Wheelchair accessible, rides","Family fun, stress relief","Rides, water activities, family time","555-0220","https://maps.app.goo.gl/P6uQrS9NoHtxM3XeA"
Malampuzha Dam,dam,nature,"Large dam with gardens and recreational areas",100,"6:00-18:00","Wheelchair accessible, viewing points","Nature appreciation, family time","Photography, picnics, boating","555-0221","https://maps.app.goo.gl/uenXCqUeYwWkt5oX9"
Fantasy Park,amusement,entertainment,"Family entertainment park with rides",150,"10:00-19:00","Wheelchair accessible, rides","Family fun, stress relief","Rides, games, family activities","555-0222","https://maps.app.goo.gl/8VUZxhP3w8LPSBYD7"
Silent Valley National Park,park,nature,"Protected forest area with diverse wildlife",400,"6:00-17:00","Guided tours, hiking required","Nature therapy, wildlife connection","Wildlife watching, hiking, photography","555-0223","https://maps.app.goo.gl/W1AJpumjkVrnENcE9" 
